PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
25218686,1798858,57560474.0,,0.25,514.6,,0.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,
25218687,1798858,57560476.0,,0.053,538.6,,0.053,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
25218688,1798858,57560477.0,,0.044000000000000004,537.7,,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
25218689,1798858,57560478.0,,0.059000000000000004,579.7,,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,
25218690,1798858,57560479.0,,0.27,609.7,,0.27,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,
25218691,1798858,57560480.0,,0.017,608.7,,0.017,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
25218692,1798858,57560481.0,,0.054000000000000006,609.8,,0.054000000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,
25218693,1798858,57560482.0,,0.013000000000000001,591.7,,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
25218694,1798859,57560484.0,,0.027000000000000003,452.9,,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,
25218695,1798859,57560487.0,,0.019,409.9,,0.019,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
25218696,1798859,57560488.0,,0.044000000000000004,452.9,,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
25218697,1798859,57560489.0,,0.054000000000000006,479.0,,0.054000000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,
25263246,1798897,58097678.0,,0.03,591.1,,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
25263247,1798897,58097679.0,,0.06,597.1,,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
25263248,1798897,58097680.0,,0.45,574.6,,0.45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,450.0,,,,,,,,,,,,,,,,,
